product,vendor,category,price,ranking,skin_type,skin_type_code,skin_problem_code
belif-moisturizing-bomb-toner,Belif,Toner,32.98,5.0,"Dehydrated, Dry",D,Deh
belif-aqua-bomb-cica-cream-stress-shooter,Belif,Moisturisers,33.95,0.0,"Sensitive, Normal",N,S
belif-uv-protector-daily-sunscreen-gel,Belif,Sunscreen,31.95,0.0,"Dry, Normal","D, N",
belif-numero-10-essence,Belif,Essence,31.95,0.0,"Dehydrated, Dry",D,Deh
belif-bergamot-herbal-extract-toner,Belif,Toner,31.95,3.0,"Combination, Oily","C, O",
belif-eucalyptus-herbal-extract-toner,Belif,Toner,31.95,0.0,"Combination, Oily","C, O",
benton-centella-cica-mask-pack,Benton,Face Mask,2.51,4.43,"Oily, Acne",O,A
benton-snail-bee-high-content-mask-pack,Benton,Face Mask,2.44,4.71,Normal,N,
benton-aloe-bha-skin-toner,Benton,Toner,21.53,4.61,"Combination, Oily, Acne","C, O",A
benton-fermentation-mask-pack,Benton,Face Mask,2.37,4.72,Normal,N,
benton-aloe-soothing-mask-pack,Benton,Face Mask,2.85,4.68,Normal,N,
benton-aloe-propolis-soothing-gel,Benton,Moisturisers,19.54,4.64,Normal,N,
benton-air-fit-uv-defense-sun-cream,Benton,Sunscreen,15.78,4.58,Normal,N,
benton-snail-bee-high-content-essence,Benton,Essence,13.66,4.7,Normal,N,
benton-honest-cleansing-foam,Benton,Cleanser,9.74,4.38,Normal,N,
benton-snail-bee-ultimate-serum,Benton,Serum,23.95,4.46,Normal,N,
benton-deep-green-tea-cleansing-foam,Benton,Cleanser,12.68,4.48,Normal,N,
benton-snail-bee-high-content-steam-cream,Benton,Moisturisers,19.54,4.74,Normal,N,
benton-aloe-hyaluron-cream,Benton,Moisturisers,14.64,4.51,Normal,N,
benton-snail-bee-high-content-skin,Benton,Toner,15.62,4.8,Normal,N,
benton-pha-peeling-gel,Benton,Exfoliators,14.64,4.41,Normal,N,
benton-fermentation-essence,Benton,Essence,22.48,4.4,Normal,N,
benton-skin-fit-mineral-sun-cream,Benton,Sunscreen,14.51,4.1,Normal,N,
benton-snail-bee-high-content-lotion,Benton,Moisturisers,18.56,4.62,Normal,N,
benton-deep-green-tea-toner,Benton,Toner,14.64,4.57,Normal,N,
benton-mineral-sun-stick,Benton,Sunscreen,16.6,3.88,Normal,N,
benton-good-bye-redness-centella-spot-cream,Benton,Moisturisers,14.64,4.45,Normal,N,
benton-centella-cica-gel,Benton,Moisturisers,19.95,4.52,Normal,N,
benton-deep-green-tea-lotion,Benton,Moisturisers,14.94,4.0,Normal,N,
benton-deep-green-tea-serum,Benton,Serum,15.62,4.45,Normal,N,
benton-tea-tree-cleansing-water,Benton,Cleanser,18.56,4.79,Normal,N,
benton-lets-carrot-multi-oil,Benton,Serum,17.95,4.2,Normal,N,
benton-aloe-real-cool-soothing-gel,Benton,Moisturisers,10.72,4.59,Normal,N,
benton-snail-bee-ultimate-toner,Benton,Toner,23.46,4.83,Normal,N,
benton-let-s-carrot-moisture-cream,Benton,Moisturisers,16.95,4.67,Normal,N,
benton-let-s-carrot-oil-toner,Benton,Toner,17.95,5.0,Normal,N,
benton-ceramide-cream-10000ppm,Benton,Moisturisers,20.52,5.0,"Dry, Sensitive, Dry","D, D",S
benton-bakuchiol-serum,Benton,Serum,29.34,5.0,Normal,N,
benton-ac-bha-foam-cleansing,Benton,Cleanser,15.95,0.0,"Acne, Combination, Oily, Normal","C, O, N",A
blithe-tundra-chaga-pressed-serum,Blithe,Moisturisers,34.95,4.93,Normal,N,
blithe-vital-treatment-8-nourishing-beans-essence,Blithe,Essence,32.95,4.56,Normal,N,
blithe-bubbling-splash-mask-indian-glacial-mud,Blithe,Face Mask,22.95,4.86,Normal,N,
blithe-patting-splash-mask-soothing-healing-green-tea,Blithe,Toner,22.45,4.33,Normal,N,
